query,relevant_doc_id
"site:github.com bug report ""introduced this"" && site:github.com bug report ""have a fix""",87
"file modified since yesterday bug report ""i introduced this""",87
nsWindow.cpp focus event handling,88
disable focus event notifications,88
What is the CSS-2 specification on row background inheritance?,89
How does Nav4 and IE handle row background inheritance?,89
colspan rule distribution,90
proportionate column width calculation,90
"""incremental reflow"" AND ""image width"" AND ""table layout issues""",91
"""minimum required size"" AND ""cell layout"" AND ""image placement problems""",91
resize window fix issue with flushing of text on close,92
document closing flush text reflow not triggered,92
backward propagation not terminating at gating tags,93
table behavior issue with nested tables,93
site:github.com bug report 'maxElementSize' AND 'desiredSize',94
site:github.com bug report 'maxElementSize' AND 'table cell size reservation',94
Find all occurrences of 'jpeg' in the HTML body,95
Extract the URL from the <IMG> tag with src attribute,95
Find HTML table structure in bug report,96
Extract CSS styles used in HTML background and text colors,96
floating tables bug report,97
primary culprit floating tables issue,97
What are floating images causing issues with?,98
Floating image bug report,98
Find the HTML table structure in Nav4 with missing <tr> and <td> tags,99
Extract the CSS styles applied to the outer table cell in the Nav4 HTML snippet,99
find all occurrences of table tags in the HTML string,100
extract the width and height attributes from the tables within the center element,100
"""select all"" AND (turn selection on OR document)",101
"""fix"" AND (small AND easy) AND ""select all""",101
Shift click on viewer window without first clicking,102
Viewer window crash issue with initial shift click,102
Frame attribute specification bug report,103
cc list attribute specification bug report,103
display problem navigation,104
trailing brs ignored in nav4,104
site:github.com -bug report height=x% on all table tags ignored,105
site:stackoverflow.com bug report height=x% on all table tags ignored,105
How to remove align=right from table layout in HTML,106
Fixing issue with table alignment when using align=right,106
is there a way to avoid reflow in layout 0 0,107
can we prevent reflow on initial render at 0 0,107
find all occurrences of '<img src=' in the HTML code,108
search for 'Java technology' and 'online banking' together,108
"Find all occurrences of 'height' and 'width' in the HTML table styles, regardless of case",109
Search for 'pixel value' and 'Percent value' within the bug report text,109
text field size validation issue,110
input type text rendering discrepancy,110
site:github bug style attributes not working on widgets,111
site:github 'style attributes' and 'background-color' not supported on widgets,111
"What happens when clicking on an anchor link in Java Warp, and how can we fix the page reloading issue?",112
"How does Java Warp handle anchor links, and why is the page reloading instead of scrolling directly?",112
"""site"" AND ""repeatedly"" AND ""local"" AND ""test case""",113
"""tip"" AND ""branch""",113
site:bug tracker 'display document content within <noscript> tag' AND 'javascript enabled',114
site:bug tracker 'handle <noscript> tag like a comment' AND 'recreate original HTML',114
How to handle mismatched begin/end tags in inner tables while preserving layout,115
Edge case for removing outer <center> tag and its impact on table layout,115
site:slashdot.org 'font' AND NOT '<FONT' AND NOT '</FONT',116
site:slashdot.org 'html' AND NOT '<FONT color=000000>',116
"""centering"" AND ""table cell"" AND ""horizontally"" AND ""vertically""",117
"""aol"" AND ""checkmate"" AND ""vertical centering""",117
"site:bugzilla.mozilla.org search ""load up www.yahoo.com""",118
"site:bugzilla.mozilla.org search ""visual debugging""",118
form buttons at bottom url garbled gt gt gt,119
bottom form buttons in url formatting issue,119
"""NGLayout"" and ""image map""",120
"""Navigator"" and ""image map""",120
what is the issue with html rendering in the bug report,121
why does the colon (:) get truncated in the bug report,121
find all occurrences of 'DT' in the HTML source code,122
compare two URLs: http://checkmate/nglayout/bugs/client.html and http://checkmate/nglayout/bugs/client-nodt.html,122
simple bug report,123
safe fix for simple bug report,123
cell widths given as a percentage inside an auto-width table,124
implementation steps for handling tables with colspans and conflicting attributes,124
win95 pasteboard not recognized by aim,125
aim not picking up copied content in win98,125
site:bug report 'javascript on page load' AND 'random image' AND 'called twice',126
site:bug report 'image loaded on page load' AND 'javascript issue',126
win95 plugin issues release builds,127
known issue with non-repainting plugin on win95,127
site:aol.com 'link' AND NOT 'show up',128
build:11/30 NT/win98 'link' AND 'not show up' in My News section,128
site:github.com bug report 'table' AND 'image width height zero',129
site:github.com bug report 'align=left' AND 'img src=foo.jpg',129
left and right CSS margins defined in pixel widths memory issues,130
paragraph with CSS margins causing wackiness on Windows NT,130
site:bugzilla.mozilla.org 'reopened' AND 'resolved' AND NOT 'resolution',131
site:bugzilla.mozilla.org 'state' AND 'rsolved' AND 'no resolution',131
site:nbc.com 'image submit control' && (mouse events || form submission issues),132
site:sportszone.com 'search image control' && (mouse enter not detected),132
"""continuing frames"" + ""cell map"" + ""column width""",133
"""table code"" + ""enforcement"" + ""correctness""",133
What are the inconsistent handling of colspans in tables with a single row?,134
How can we ensure that table frame code handles colspans correctly for tables with only one row?,134
margin issue in viewer vs navigator,135
inconsistent right margin width in viewer and navigator,135
long documents and OnDataAvailable() not triggered,136
status bar notification mismatch in Raptor,136
window.top crash bug,137
nsWebShell QueryInterface stack trace,137
nav4 compatibility issue,138
not nav4 compatible,138
leak of the form object in nsForm::new(UINT),139
memory leak in nsHTMLContentSink::OpenForm(nsIParserNode const&),139
site:bug report 'headings clipped' AND 'release build',140
site:bug report 'page layout issue' AND 'left edge clipping',140
site:bug report 'Object tag tests' AND site:release,141
site:bug report 'Raptor' AND (Object tag OR Object test),141
Find all occurrences of the '<' and '>' characters in the HTML body,142
Extract the URL from the 'A' tag with the HREF attribute,142
site:esearch.isr.org keyword minwidth,143
filetype:html keyword minwidth,143
What does CNavDTD error code 1680 mean?,144
How to fix null tag issue in CNavDTD version X?,144
how to programmatically set image size in js,145
replace child element with new image in js,145
Find all occurrences of 'IMG' in the HTML code,146
Identify and extract the image source URL from the HTML code,146
table caption sizing issue with auto-resizing tables,147
caption alignment problem when table resizes dynamically,147
site:github.com 'loop' AND 'URL widget',148
site:github.com 'http://w3' AND 'return',148
nsHTMLContainer destructor crash stacktrace,149
nsHTMLContainer destrucutor crash in nsDocument,149
What's causing alignment issues with table data when it falls between cell boundaries?,150
How to improve table alignment when data spills over into adjacent cells?,150
How does whitespace handling work for long text nodes in LI elements?,151
Why does whitespace get chopped before links in certain cases?,151
reflow metrics nsCSSBlockFrame,152
nsReflowState and ReflowAround,152
win95 load test scroll down text not showing on buttons,153
load test win95 scrolling issue with text not appearing on controls,153
"site:raptor.js error ""<!--"" on line 8",154
"site:nav4 source ""<!--""",154
site:bugtracker.com 'quotes' AND (image OR alt) AND NOT example,155
site:bugtracker.com 'expected behavior' AND (Nav4 OR IE4),155
How to add bottom and right borders to hr element in raptor,156
Raptor hr element styling issue with missing bottom and right borders,156
site:github.com bug report 'empty string' AND 'mytr undefined',157
site:github.com bug report 'empty string' AND 'returns null',157
"""build status"" AND ""Raptor"" AND ""displaying incorrectly""",158
"""build status"" AND ""Raptor"" AND ""obvious difference""",158
mozilla org index page rendering issues,159
new box star logo table layout problems,159
"Find all occurrences of ""ldquo"" and ""rdquo"" in the HTML entities on the page linked from http://members.tripod.com/~mozillabuilds/nglayout.html",160
"Search for the bug report from David Baron on netscape.public.mozilla.layout newsgroup, containing html entities &ldquo; and &rdquo;",160
css multiple classes nglayout viewer,161
nglayout css support,161
top frame margin issues,162
center alignment issue in html table,162
site:bugs.apache.org 'align=center' AND 'level 2',163
file:css.css 'align=center' AND 'level 2',163
What is the CSS property to clear floated elements?,164
How does the 'clear' attribute work in HTML?,164
site:bug tracker 'align' and not center,165
"subject: ""align"" and not center",165
"Find all CSS stylesheets in the project, specifically those that define default settings for the BODY element.",166
Search for all instances of the line `<STYLE TYPE=text/css>/* First; set attributes of BODY element.;` in the HTML code,166
site:w3c.org 'float attribute' AND NOT site:slip.com,167
url:http://www.w3.org/Style/CSS/Test/w3c-l,167
css texttransform non-ascii,168
css texttransform single byte charsets,168
site:mozilla.org 'priority language' AND lang:fr,169
filetype:c sourcecode 'priority language' AND lang:fr,169
find bug report for 'older news section extends beyond navigation bar' in 9-2-98 build,170
"search for issue with P tags not rendering in older news table, fixed in 9-3-98 Mozilla/Communicator 4.5",170
"""NGLayout"" build 9-2-98",171
page resizing issue NGLayout,171
site:bugtracker.com 'file:///c:/directx' AND viewer.exe,172
site:bugtracker.com 'Program Files' AND directx AND (crash OR crash report),172
Makefile.in DIRS $(DEPTH)/modules/libreg,173
libreg.$(DLL_SUFFIX) in EX_LIBS,173
site:w3.org code:if.cpp line:186,174
site:w3.org 'urlLoad routine' and 'interrupting/aborting streams',174
style not applied to paragraphs on page,175
paragraphs not styled according to top-level styles,175
find all occurrences of '<a href=' in the code,176
search for 'item' followed by '<a href=' in the list items,176
binary search for text element performance optimization,177
font size impact on text selection speed,177
"What is the current implementation of SelectionRange and SelectionPoint in nsISelection, and how can they be made visible to nsISelection?",178
How can the APIs for getting SelectionRange and SelectionPoint be modified to return const references and const& in nsISelection?,178
Open status set to M4,179
Normal status changed to M4,179
What's the issue with ABBR in NGLayout?,180
Why does NGLayout insert a newline before ABBR content?,180
width property enforcement issue,181
browser window width vs div width,181
NetscapeDispatchWnd Application Error crash zero pointer,182
Highlighting text viewer mouse click drag crash,182
site:mozilla.org 'title' AND 'text' NOT,183
site:mozilla.org html entities AND 'change title' AND 'demo',183
site:w3.org RDF Implementations SiRPAC,184
site:mozilla.org Win32 build,184
"""in_buf"" and ""STRIP_CRLF state""",185
"""obj->in_buf"" and ""CRLF""",185
site:mailnote kipp and troy minimized test case,186
img HSPACE non-zero size info,186
navigator debug stops loading images on mac,187
navigator debug issues with image loading on specific websites,187
What is the purpose of mDocument->ContentAppended() in the framset document handling logic?,188
Why does DidBuildModel() call mDocument->ContentAppended() even when mBody is NULL?,188
site:mozilla.org 'ROWSPAN' AND NOT 'mouseover',189
site:mozilla.org '<A HREF='02.html'>02</A>' AND 'TABLE' AND 'NGLayout',189
site:mozilla.org 'assert line 7188',190
file:ht.c 'Mozilla crash site:mozilla.org',190
site:netscape.com 'button toolbar' AND 'positioning buttons',191
site:netscape.com ' Communicator button layout' OR 'Gold button positioning',191
What is the issue with NGLayout and tables?,192
How does NGLayout affect table rendering?,192
object element alternate content not displayed primary content issue,193
rectangle not redrawn when object element has alternate content,193
site:github.com bug report 'bulleted list items' AND 'column two',194
site:github.com bug report 'positioned too far left' AND 'column two',194
floats not resizing on window resize,195
percentage width property not updating on window change,195
site:bug report 'September 13th' AND site:bug report 'Windows build',196
find memory leak warnings in purify,197
js_malloc and js_alloc_atom memory leak issues,197
em unit length value issue,198
nglayout test document issue #1,198
site:bugzilla.org bug 2 html element styling,199
padding and margins html body element,199
How to link a specific test case to an issue in the bug tracker?,200
What is the process for referencing a specific issue in the bug report?,200
test case bug report issue #4,201
bug report with attached url and issue number,201
What is the recommended margin value for browser default stylesheets?,202
Can User Agents specify custom CSS stylesheets?,202
Padding for block-level elements,203
Horizontal padding issue,203
site:bug tracker 'constrained' AND 'unconstrained' (50% OR 100%),204
site:bug tracker 'background rectangle' AND 'textual content',204
css float overlapping bug,205
w3c css2 float positioning,205
netcenter login page noscrypt redirect,206
fix netcenter nglayout testing issue with noscrypt tags,206
"How to navigate to My Netscape User, Find My Page in Netcenter sign-in page",207
Fix for bug #815 parsing content inside NOSCRIPT tags on my.netscape.com,207
netscape crash debug assertion failed mozilla nightly,208
mozilla invalid page fault msvcrtd.dll stack dump,208
Find all occurrences of nsCSSBlockFrame::Reflow in the code,209
Find all references to nsSpaceManager::GetBandData in the bug report,209
What is the expected behavior for handling newlines after HTML tags in the parser?,210
How does the content sink handle leading newlines?,210
site:github bug 'default file type' AND 'mask',211
"bug report ""form upload default"" AND ""html files""",211
legomindstorms frames table issue,213
legomindstorms bug missing images,213
"""Windows 98"" AND ""VC 5.0"" AND ""128MB RAM""",214
"""MOZILLA.EXE"" AND ""invalid page fault"" AND ""binary build 9-17-98""",214
site:github bug french accents not displaying correctly in bookmarks,215
site:github issue french accent display issue in bookmarks,215
style system not clamping border values,216
css2 spec allowing negative border values,216
site:mozilla.org 'Type 3 error' AND crash,217
site:mozilla.org 'visited link color' AND MacOS 8.1 PowerMac G3/300,217
rendering bug report: probably shouldn't bother rendering it all!,218
"bug report text: ""Probably shouldn't bother rendering it all!""",218
site:w3.org REC-CSS1 containment-in-html,219
site:w3.org CSS style system bug,219
What iids do nsIEnumConnections and nsIEnumConnectionPoints share,220
Why are nsIEnumConnections and nsIEnumConnectionPoints unused,220
css2 universal selector *,221
specificity rules for css2 selectors,221
padding left bug,222
left padding issue,222
bug report incremental layout,223
test case stress 500 li items,223
sowanim.gif memory leak,224
4.x browser image redraw issue,224
mozilla crash debug assertion failed file fenet.cpp line 199,225
mozilla crashes with invalid page fault in msvcrtd.dll at eip=10216120,225
Find all occurrences of <DEL> and <INS> tags in the HTML body,226
Search for <table border> elements with incorrect <ins> and <del> tags,226
libmocha hacks bug,227
mozilla preference ui implementation,227
find all occurrences of '<LI>Item X</LI>' and '<TD colspan='3'>...</TD>' in the HTML code,228
search for 'TD' and 'TR' elements with a 'COLSPAN' attribute in the HTML code,228
site:github.com parser illegal selector value,229
parser discards style rule and illegal selector value,229
Find all occurrences of 'destroyed' and 'crash' in the bug report,230
Search for HTML tags within the bug report,230
"find ""and"" and ""we"" in the bug report",231
"search for ""should"" in the bug report",231
How to remove leading whitespace from input field value in HTML,232
Fixing extra space at start of text input field value,232
bugzilla login form GET vs POST,233
NGlayout bugzilla login authentication mismatch,233
site:win95 netscape redirect,234
netscape webmail redirects,234
Find all occurrences of 'obj' in the code and search for the line where it's compared to _pce->property,235
Search for the definition of PROP_NOT_FOUND and find the context where it's used,235
Find the line containing the bug in the lookup code for the JavaScript property cache,236
What is the exact location of the incorrect comparison in the PROPERTY_CACHE_TEST macro,236
site:libpng.org pngconf.h setjmp.h,237
site:sourceforge.net pngconfig,237
nsButton.h NS_INIT_REFCNT(),238
nsBaseWidget NS_DECL_ISUPPORTS initialization,238
Find the HTML table structure in the bug report,239
Identify the third cell placement issue in the second table,239
timer api implementation issue: repeated timers causing temp objects,240
temporary timer objects creation and destruction in view manager,240
nsFont memory leak,241
nsFont stack allocation,241
"Find all occurrences of 'Selector' and 'SelectorList' in the codebase, specifically in ParseSelectorGroup(), ParseRuleSet(), and ParseSelectorList().",242
What is the exact number of Selector objects and SelectorList objects created and destroyed during document loading? How does this relate to Purify reports?,242
temporaries in style system,243
temporary supports array impl objects,243
Find all occurrences of 'nsBlockFrame' and 'BulletFrame' in the code,244
"Search for the line where 'nsBlockFrame::Init' is called, specifically looking for the 'HTMLStyleSheetImpl::ConstructFrameByDisplayType' method",244
site:github.com bug report pixels nscoord style context,245
site:github.com bug report pixel values scaling,245
Find all occurrences of non-ASCII characters in HTML files,246
How to correctly display ISO-8859-1 characters in HTML files,246
png parsing issue with rgb separation,247
bug in png image rendering for specific date range,247
site:netscape.com bug report 'stacking order plugin windows' AND 'layers' AND 'plugin OLE windows',248
site:mozilla.org bugs report 'plugin stacking issue' AND 'window layers',248
what is the current implementation of 'which' in the retrieval system,249
how do we need to rework the 'which' functionality in the retrieval system,249
site:heimdallr.u-net.com 'bug' AND (Nav OR navigation) AND NOT (content OR content developer),250
site:heimdallr.u-net.com 'HTML 4.0' AND bug AND (layout OR tables),250
Find all occurrences of FONT tags in the table and return results,251
Search for HTML table formatting issues and report back 0; maxElementSize,251
site:cdrom.com 'PNG suite' AND (crash OR crash report),252
site:cdrom.com 'PNG test icons' AND (Mozilla crash OR Mozilla error),252
find broken links in major head links like Recreation,253
identify HTML table and form issues in Yahoo search results,253
textDecoration attribute values not being saved,254
string value for text decorations not being reflected,254
 intermittent crash in image group when navigating to http://www.wbmovies.com/main.html,255
reconnect hack stacktrace analysis for nsIStreamListener and ilINetReader,255
How to display nested list markers correctly in NGLayout,256
Fixing unordered list display issue with nested list markers,256
site:bugreport lower alpha numbering scheme,257
<code>lower alpha numbering scheme</code>,257
site:bugreport.com 'lower roman numbering scheme' AND NOT upper Roman,258
site:bugreport.com '<ol type=i>',258
Find occurrences of 'ordered lists' and 'nested lists' in the bug report,259
Search for mentions of 'arabic' and 'alpha' markers in the NGLayout component,259
Find all occurrences of 'DT' and 'DD' tags without end tags in HTML content,260
What is the incorrect content tree generated by the parser for the given HTML code?,260
MacBinary encoding issue with Http uploads on Mac,261
Netscape error causing file corruption on Mac with Http uploads,261
site:cyberworks.net 'animation' AND 'discover-frame.html',262
site:cyberworks.net 'NGL' AND 'product',262
top images notice,263
black column on right,263
fieldset legend implementation in ie5,264
html based dialog implementation in xpfe,264
explicit label associations with input element,265
xpfe html dialog label requirements,265
site:bugreport.com 'column width' AND 'fixed' NOT,266
site:bugreport.com 'cell content' AND 'border override',266
css vertical margins collapse with non-sibling block-level elements,267
why dont vertical margins collapse between all block-level elements,267
margin areas transparency issue,268
nglayout div element size calculation,268
site:bug report 'input width' AND 'parent element width',269
site:bug report 'div style width 75%' AND 'body width',269
HTML 4.0 BUTTON element implementation,270
IE 4/5 button rendering with embedded HTML,270
Support for disabled attribute on HTML form elements,271
Exposing disabled attribute to DOM for JavaScript manipulation,271
accesskey override focus issue,272
underline accesskey character,272
Capture event for XPFE,273
Window dimensions capture,273
document width implementation,274
XPFE width retrieval,274
Get rid of getElementByTagName() in alert(document.getElementById('foo')),275
Fix getDOMAttribute() to getAttribute() in element retrieval,275
back button not working in table,276
horizontal scrollbar issue with table resizing,276
mozilla nightly build test error breakpoint,277
mozilla assertion failure winfe fenet.cpp line 199,277
Find all occurrences of 'border' and 'style' with a value of 'thin solid red' in the bug report,278
Identify the HTML elements that have inconsistent width for their border styles,278
site:html.css border none,279
find 'border' in style tag,279
newGlobalObject is null in GlobalWindowImpl::Open,280
JSContext * 0x013f0e20 and newGlobalObject->SetOpenerWindow(this) in GlobalWindowImpl,280
What was the module involved in the viewer crash on 9/28 build?,281
Why did moving the form element start tag outside of the table resolve the viewer crash?,281
css min-width and max-width properties,282
css2 spec visudet.html,282
site:mozilla.org 'bold' AND 'bolder',283
site:mozilla.org 'bold' AND 'font-weight',283
site:neodata.com 'floating button' AND (table|form) AND not ad,284
site:neodata.com 'floating button' AND (table|form) AND 'void where prohibitted',284
"font weight issues: normal, lighter, 100-400 vs bold, bolder, 500-900",285
bug report: font weights not rendered correctly for certain values,285
site:mozilla.org css sec526s font size,286
css sec526s font size,286
Find all CSS test cases on Mozilla's new layout page that are related to font size,287
Check if the 'xxsmall' font size in sec526ex.htm test case is correct,287
Find the CSS test case sec526in on mozilla.org with a style issue where font size is displayed as nearly an inch high instead of .5in,288
Check the newlayout testcases/css/sec526in.htm page on mozilla.org for incorrect font size display,288
css sec526cm test case url: http://www.mozilla.org/newlayout/testcases/css/sec526cm.htm,289
font size css test case: http://www.mozilla.org/newlayout/testcases/css/sec526cm.htm,289
Find all test cases in the Mozilla CSS layout test suite where the 'sec527sty' section is not rendering italic text correctly,290
Check the URL and expected output for the 'css/sec527sty.htm' test case to ensure it's displaying italic text as intended,290
site:mozilla.org css sec527v.htm 'text' inurl,291
site:mozilla.org css sec527v.htm 'small-caps' inurl,291
Find the test case with URL http://www.mozilla.org/newlayout/testcases/css/sec527w.htm and verify that the font is displayed as bold,292
